,index,STATE,ZIPCODE,N2,A02650,Total Income per Individual,lng,lat
315,9404,KY,42635,2670.0,42633.0,15.967415730337079,-84.40033,36.67601
316,8975,KY,40820,250.0,3992.0002,15.9680008,-83.16515,36.77552
317,27582,WY,82514,2720.0,43448.0001,15.97352944852941,-109.01,43.01997
318,880,AZ,86030,810.0,12939.0001,15.974074197530863,-110.80709,35.87005
319,25218,VA,22729,280.0,4473.0002,15.975000714285716,-78.01596,38.35658
320,2194,CA,93703,28620.0,457281.0001,15.977672959468903,-119.76249,36.76884
321,1804,CA,92231,54740.0,875237.0,15.988984289367922,-115.56433,32.68751
322,2054,CA,93250,13800.0,220822.0001,16.001594210144926,-119.20278,35.66456
323,12999,MS,39144,810.0,12964.0001,16.00493839506173,-90.80155,31.82971
324,10707,MA,1105,7910.0,126726.0,16.020986093552466,-72.57865,42.09911
325,21567,PA,19133,17140.0,274651.0,16.023978996499416,-75.14149,39.99238
326,17483,NC,27260,19860.0,318298.0001,16.02708963242699,-79.98697,35.95473
327,1412,CA,90001,50130.0,804287.0001,16.04402553560742,-118.24904,33.97365
328,87,AL,35204,5870.0,94188.0,16.04565587734242,-86.84067,33.52203
329,8987,KY,40870,330.0,5298.0002,16.05454606060606,-83.14858,36.93211
330,23423,TX,76106,32600.0,523576.0001,16.0606135,-97.35209,32.81417
331,4359,FL,33973,10540.0,169302.0,16.06280834914611,-81.73012,26.6014
332,9122,KY,41421,270.0,4339.0002,16.07037111111111,-83.17397,37.99027
333,13470,MO,63942,450.0,7232.0001,16.071111333333334,-91.07821,36.55434
334,23266,TX,75702,21850.0,351448.0001,16.08457666361556,-95.31207,32.36403
335,26509,WV,25505,260.0,4185.0,16.096153846153847,-82.03075,38.01967
336,24119,TX,78242,28890.0,465166.0,16.10128071997231,-98.60751,29.35067
337,25458,VA,23523,6340.0,102180.0,16.116719242902207,-76.27199,36.83254
338,9071,KY,41149,400.0,6447.0002,16.117500500000002,-83.05438,38.06008
339,17293,NY,14621,23910.0,385441.0,16.120493517356753,-77.60408,43.18911
340,24689,UT,84112,370.0,5965.0001,16.12162189189189,-111.84123,40.7652
341,9173,KY,41636,420.0,6774.0003,16.12857214285714,-82.73087,37.39772
342,9001,KY,40953,430.0,6938.0001,16.134883953488373,-83.80163,36.93771
343,836,AZ,85706,48170.0,777577.0001,16.142350012455886,-110.93541,32.14783
344,13249,MO,63115,11700.0,188964.0,16.15076923076923,-90.23994,38.68211
